otel_ad,fiyat,Hava Alanına Uzaklığı,Denize Uzaklığı,İskele,A la Carte Restoran,Asansör,Açık Restoran,Kapalı Restoran,Açık Havuz,Kapalı Havuz,Bedensel Engelli Odası,Bar,Su Kaydırağı,Balo Salonu,Kuaför,Otopark,Market,Sauna,Doktor,Beach Voley,Fitness,Canlı Eğlence,Wireless Internet,Animasyon,Sörf,Paraşüt,Araç Kiralama,Kano,SPA,Masaj,Masa Tenisi,Çocuk Havuzu,Çocuk Parkı,il,ilce
Adalya Elite Lara,25799.5,10,50.0,1.0,5,1,1,1,2,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Antalya , Lara-Kundu 
Adalya Ocean Deluxe,30432.7,65,0.0,0.0,3,1,1,1,1,1,1,3,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,Antalya , Side-Evrenseki 
Adam Eve,39150.0,35,0.0,1.0,7,1,1,1,5,1,1,7,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,Antalya , Belek-İskele 
Alaiye Resort Spa,16875.0,105,50.0,0.0,3,1,3,2,4,1,0,6,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,Antalya , Alanya-Türkler 
Alarcha Hotels Resorts,16907.5,100,0.0,0.0,2,1,1,1,1,1,1,4,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,Antalya , Side-Örenşehir 
Aletris Deluxe Hotel Spa,28209.6,45,600.0,0.0,3,1,1,4,2,1,1,6,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,Antalya , Side-Çolaklı 
Aqı Pegasos Royal,18662.9,95,0.0,1.0,3,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,Antalya , Alanya-İncekum 
Aydınbey Famous Resort Hotel,20586.0,40,0.0,0.0,1,1,1,1,2,1,1,5,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,Antalya , Belek-Boğazkent 
Aydınbey Gold Dreams Hotel,21900.0,110,,0.0,1,1,1,1,2,1,1,5,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,Antalya , Alanya-Türkler 
Aydınbey Queen`s Palace Hotel,35040.0,20,750.0,0.0,2,1,1,1,2,1,1,4,1,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,Antalya , Belek-Kadriye 
Blue Waters Club,29776.5,65,0.0,1.0,0,1,2,1,3,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,Antalya , Side-Sorgun 
Boyalık Beach Hotel Spa Thermal Resort,21037.5,90,0.0,1.0,0,1,1,1,2,2,1,2,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,Çeşme , Boyalık 
Club Hotel Sera,25882.5,9,0.0,1.0,1,1,1,1,1,1,1,3,1,0,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,Antalya , Lara-Örnekköy 
Club Paradiso,13230.0,130,750.0,0.0,2,1,1,1,3,1,1,8,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,Antalya , Alanya-Kestel 
Club Side Coast Hotel,15300.0,60,300.0,0.0,2,0,1,1,2,1,0,4,1,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,Antalya , Side-Çolaklı 
Commodore Elite Suites Spa,40505.4,55,0.0,0.0,2,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,Antalya , Side-Evrenseki 
Cornelia De Luxe Resort,38025.0,35,0.0,1.0,5,0,1,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,Antalya , Belek-Serik 
Crystal De Luxe Resort Spa,21840.0,56,50.0,1.0,3,1,3,4,3,2,1,4,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Antalya , Kemer-Merkez 
Crystal Family Resort Spa,25875.0,40,0.0,0.0,6,1,5,2,5,2,1,6,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,Antalya , Belek-Boğazkent 
Crystal Palace Luxury Resort Spa,25935.0,55,0.0,0.0,5,1,4,4,2,1,1,10,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,Antalya , Side-Çolaklı 
Crystal Sunset Luxury,14399.2,60,750.0,0.0,6,1,1,1,4,2,1,13,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,Antalya , Side-Kumköy 
Çenger Beach Resort Spa,24949.2,90,100.0,0.0,2,1,1,1,1,1,1,4,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,Antalya , Side-Kızılot 
Doria Hotel Bodrum,16320.0,38,750.0,1.0,1,0,1,1,2,1,0,2,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,Bodrum , Bitez 
Ela Excellence Resort Belek,24675.8,35,0.0,1.0,7,1,8,4,1,1,1,10,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,Antalya , Belek-İskele 
Hotel Grand Kaptan,16198.6,131,,1.0,1,1,1,1,2,0,1,5,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,Antalya , Alanya-Obagöl 
Hotel Terrace Beach Resort,23625.0,60,0.0,0.0,2,1,1,1,1,1,1,3,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,Antalya , Side-Kumköy 
Kirman Sidemarin Beach Spa,23625.0,60,0.0,1.0,4,1,1,1,1,1,0,8,1,0,1,0,0,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,Antalya , Side 
Laguna Beach Alya Resort Spa,18809.8,90,100.0,0.0,1,0,1,1,4,0,0,4,1,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,1,0,Antalya , Alanya-Okurcalar 
Limak Atlantis Deluxe Hotel Resort,32076.0,35,0.0,1.0,5,1,1,1,5,1,1,4,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,Antalya , Belek-İleribaşı 
Limak Lara Deluxe Hotel Resort,31752.0,13,0.0,1.0,4,1,1,1,3,1,1,8,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,Antalya , Lara-Kundu 
Limak Limra Hotel Resort,29484.0,75,0.0,1.0,5,1,1,1,4,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,Antalya , Kemer-Kiriş 
Lrs Lake River Side Hotel Spa,21265.9,65,750.0,0.0,3,1,1,1,1,1,1,2,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,Antalya , Side-Titreyengöl 
Lrs Port River Hotel Spa,20674.0,65,200.0,0.0,2,1,1,1,1,1,1,4,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,Antalya , Side-Titreyengöl 
Luna Blanca Resort Spa,22499.9,65,200.0,0.0,2,1,1,1,2,1,1,3,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,Antalya , Side-Kumköy 
Lykia World Antalya,23085.0,50,0.0,1.0,5,1,1,1,6,2,1,5,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,1,1,1,Antalya , Belek-Boğazkent 
Marvida Family Eco,17784.0,70,400.0,0.0,4,1,1,1,3,1,1,4,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,Antalya , Side-Titreyengöl 
Megasaray Club Belek,36000.0,29,0.0,1.0,2,1,4,2,3,1,0,4,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,Antalya , Belek-Serik 
Meridia Beach Hotel,8640.0,76,100.0,0.0,1,1,1,1,1,1,1,6,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,Antalya , Alanya-Okurcalar 
Meryan Beach Hotel Spa,12375.0,85,0.0,1.0,0,1,2,1,2,1,1,5,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,Antalya , Alanya-Okurcalar 
Mirada Del Mar,23166.0,45,0.0,1.0,5,1,3,1,3,1,1,8,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,Antalya , Kemer-Göynük 
Orange County Kemer,35100.0,60,0.0,1.0,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0,Antalya , Kemer-Merkez 
Pine Beach Belek,32400.0,33,0.0,0.0,3,1,1,1,3,3,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,Antalya , Belek-İleribaşı 
Queens Park Le Jardin Resort Spa,29503.5,60,0.0,1.0,4,1,1,1,2,1,1,3,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,Antalya , Kemer-Kiriş 
Queens Park Resort Göynük,34037.2,46,0.0,0.0,3,1,1,1,2,1,0,4,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,Antalya , Kemer-Göynük 
Ramada Resort Bodrum,24795.0,40,750.0,0.0,1,1,1,1,1,1,1,4,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,1,0,Bodrum , Bitez 
Raymar Resort Aqua,18144.0,88,0.0,1.0,3,1,1,1,2,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,Antalya , Side-Manavgat 
Riolavitas Resort Spa,20126.4,75,300.0,0.0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,Antalya , Side-Titreyengöl 
Rox Royal Hotel,16380.0,60,100.0,0.0,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,Antalya , Kemer 
Selene Beach Spa Hotel,22139.2,105,0.0,0.0,1,1,1,1,1,0,0,2,0,0,1,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,Antalya , Alanya-Türkler 
Sensitive Premium Resort Spa,18075.2,40,300.0,0.0,3,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Antalya , Belek-Boğazkent 
Sentido Kamelya Selin Hotel,35271.6,55,0.0,0.0,6,1,1,1,5,2,1,7,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,Antalya , Side-Çolaklı 
Sentido Trendy Verbena Beach,30375.0,55,0.0,0.0,5,1,1,1,3,1,1,6,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,1,1,Antalya , Side-Evrenseki 
Side Premium Hotel,30858.0,55,100.0,0.0,4,1,1,1,2,1,1,3,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,Antalya , Side-Evrenseki 
Side Royal Style,19748.1,45,200.0,0.0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,Antalya , Side-Evrenseki 
Side Star Resort,19918.3,50,0.0,0.0,3,1,1,1,1,0,1,5,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,Antalya , Side-Gündoğdu 
Side Stella Elite Resort Adult Only +16,24639.1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Null,
Sirius Deluxe Hotel,22440.0,110,0.0,1.0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,Antalya , Alanya 
Sueno Hotels Beach Side,27000.0,60,0.0,1.0,6,1,1,1,6,1,1,13,1,1,0,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,Antalya , Side-Sorgun 
Sunis Elita Beach Resort Spa,27840.0,81,0.0,1.0,5,1,1,1,3,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,Antalya , Side-Kızılağaç 
Sunis Evren Beach Resort Hotel,27000.0,60,0.0,0.0,5,1,1,1,1,1,1,2,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,Antalya , Side-Evrenseki 
Susesi Luxury Resort,60480.0,35,0.0,1.0,6,1,4,3,4,1,1,11,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,Antalya , Belek-İskele 
The Lumos Deluxe,22201.5,155,100.0,1.0,2,1,1,1,2,1,1,5,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Antalya , Alanya-Kargıcak 
Trendy Palm Beach,25312.5,60,0.0,0.0,3,1,1,1,2,1,1,3,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,Antalya , Side-Kumköy 
Tui Magic Life Belek,24097.5,25,0.0,0.0,4,0,1,1,1,0,0,7,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,Antalya , Belek 
Turunç Premium Hotel,29700.0,120,0.0,1.0,1,1,1,1,1,1,1,5,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,Marmaris , Turunç 
Venezia Palace Deluxe Resort Hotel,31239.0,15,0.0,1.0,3,1,1,1,2,1,1,8,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,Antalya , Lara-Kundu 
Vonresort Elite,29949.7,55,0.0,1.0,7,1,1,1,3,1,0,7,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,Antalya , Side-Çolaklı 
Vonresort Golden Beach,21494.1,55,200.0,1.0,7,0,1,1,3,0,0,7,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,Antalya , Side-Çolaklı 
Vonresort Golden Coast,10822.5,55,0.0,1.0,7,1,1,1,3,1,1,7,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,Antalya , Side-Çolaklı 
Wome Deluxe Hotel,24412.5,70,0.0,1.0,1,1,1,1,12,1,0,4,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,Antalya , Alanya-Avsallar 
Adalya Resort Spa Adults Only,23400.0,65,0.0,0.0,3,1,1,1,2,1,1,5,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,Antalya , Side-Evrenseki 
Beach Club Doğanay,18514.0,45,,1.0,1,1,1,1,2,1,1,4,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,Antalya , Alanya-Konaklı 
Tui Magic Life Jacaranda,33540.0,65,0.0,0.0,5,1,5,2,7,1,1,6,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,Antalya , Side-Çolaklı 
Novum Garden Side Hotel,28203.0,55,200.0,0.0,1,1,1,1,1,1,0,6,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,Antalya , Side 
Side Breeze,15840.0,55,200.0,0.0,0,0,2,0,0,0,0,5,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,Antalya , Side 
Telatiye Resort Hotel,13291.2,110,50.0,0.0,2,1,1,1,2,1,0,3,1,0,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,Antalya , Alanya-Konaklı 
Villa Side Residence,18900.0,60,200.0,0.0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,Antalya , Side-Manavgat 
Alaiye Kleopatra Hotel,12119.6,45,100.0,0.0,0,1,1,1,1,1,1,3,0,0,1,0,0,1,1,0,1,1,1,1,0,0,1,0,1,1,0,1,0,Antalya , Alanya-Kleopatra 
Amon Hotels Belek,19958.4,25,750.0,0.0,1,1,1,1,1,1,1,3,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,Antalya , Belek 
Ares Dream Hotel,8178.0,50,200.0,0.0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,Antalya , Kemer-Merkez 
Asrın Beach Hotel,12144.0,100,0.0,0.0,1,1,1,1,1,1,0,4,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,Antalya , Alanya-İncekum 
Club Hotel Rama,11700.0,45,0.0,1.0,0,1,1,1,2,0,0,2,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,Antalya , Kemer-Beldibi 
Elamir Resort Hotel,13433.4,55,100.0,0.0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1,1,1,0,0,Antalya , Kemer 
Get Enjoy Hotels,13005.0,40,200.0,0.0,0,1,1,1,2,0,0,3,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,Antalya , Kemer-Beldibi 
The X Belek,22264.0,27,750.0,0.0,4,0,1,1,1,1,0,4,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,Antalya , Belek-Serik 
Antique Roman Palace +16,13365.0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Null,
Astoria Hotel,12105.0,55,200.0,0.0,0,1,1,1,1,1,1,2,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,1,Antalya , Kemer-Merkez 
Club Mermaid Village,7705.1,110,500.0,0.0,1,1,1,1,3,1,0,4,1,0,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,1,1,1,1,Antalya , Alanya-Türkler 
Hane Family Resort Hotel,15257.7,60,300.0,0.0,1,1,1,1,8,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,1,1,0,Antalya , Side-Kumköy 
Hoşça Kal Alaçatı,30000.0,0,,0.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Çeşme , Alaçatı 
Miramor Garden Resort,12105.0,65,200.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,0,Antalya , Kemer-Kiriş 
Museum Resort Spa,5292.0,35,750.0,0.0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,Bodrum , Bodrum Merkez-Azmakbaşı 
Mysea Hotels Alara,8505.0,100,0.0,0.0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0,Antalya , Alanya-Okurcalar 
Side Su Hotel,14133.6,60,200.0,0.0,0,1,1,0,3,0,1,3,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,Antalya , Side 
Flora Bodrum Hotel,14256.0,35,50.0,0.0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Bodrum , Gümbet 
Malibu Resort Hotel,11117.6,70,300.0,0.0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,Antalya , Kemer-Kiriş 
Feniks Hotel +12 Adult Only,20412.0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Null,
Le Meridien Bodrum Beach Resort,42083.1,15,0.0,1.0,0,1,1,1,1,1,1,4,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,1,Bodrum , Adabükü 
Rubi Platinum Sign,45818.2,104,0.0,1.0,2,0,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,1,Antalya , Alanya-Türkler 
Sentido Lycus Beach,16005.8,0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,Antalya , Alanya-Okurcalar 
Side Square Hotel,15321.6,0,,0.0,0,1,1,1,1,0,0,2,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,Antalya , Side 
Akay Garden Family Club,8212.5,80,750.0,0.0,0,0,1,1,1,0,0,3,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,Çeşme , Ildır 
Elamir Beach Bungalow,10631.2,55,50.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,Antalya , Kemer 
Adin Beach Hotel,33120.0,105,0.0,1.0,3,1,1,2,6,2,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,Antalya , Alanya-İncekum 
Melas Resort Hotel,29700.0,65,0.0,0.0,3,0,1,1,1,1,0,3,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,Antalya , Side-Kumköy 
Green Garden Resort Hotel,24480.0,133,,0.0,1,1,1,1,6,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,Antalya , Alanya-Obagöl 
Suess Alaçatı,18000.0,90,750.0,0.0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,Çeşme , Alaçatı 
Adenya Hotel Resort,33870.6,65,0.0,1.0,2,1,1,1,7,2,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,Antalya , Alanya-Türkler 
Champion Holiday Village,30801.6,45,0.0,1.0,2,1,1,1,1,0,1,3,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,Antalya , Kemer-Beldibi 
Hotel Turan Prince,24576.0,55,0.0,1.0,3,1,1,1,3,1,0,11,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,Antalya , Side 
İncekum Beach Resort,24990.0,98,0.0,1.0,2,0,2,1,2,1,1,3,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,Antalya , Alanya-İncekum 
Juju Premier Palace (Ex. Amara Premier Palace),32400.0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Null,
Kempinski Hotel Barbaros Bay,35955.0,38,0.0,1.0,3,1,1,1,1,1,1,2,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,Bodrum , Yalıçiftlik 
Lonicera Resort Spa Hotel,30723.0,98,0.0,0.0,1,1,1,1,4,2,1,11,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,Antalya , Alanya-Avsallar 
Modern Saraylar Halal Hotel Spa,18450.0,103,750.0,0.0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,Antalya , Alanya-Avsallar 
Sailors Beach Club,17923.2,65,0.0,1.0,2,1,1,1,1,1,1,5,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,Antalya , Kemer-Kiriş 
Seaden Quality Resort,40374.4,64,0.0,0.0,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,Antalya , Side-Bingeşik 
Sentido Kamelya Fulya Hotel,17981.5,55,0.0,0.0,5,1,1,1,8,4,0,6,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,Antalya , Side-Çolaklı 
Hedef Beach Resort Spa,1756715.2,100,100.0,0.0,3,0,1,1,1,1,1,5,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,Antalya , Alanya-Konaklı 
